2014-12-02 17:12:16,197 [main] INFO  marytts.PStream Gradient GV optimization for feature: (3)  number of iterations=20
2014-12-02 17:12:16,199 [main] INFO  marytts.PStream Gradient GV optimization for feature: (4)  number of iterations=13
2014-12-02 17:12:16,200 [main] INFO  marytts.PStream Gradient GV optimization for feature: (5)  number of iterations=21
2014-12-02 17:12:16,201 [main] INFO  marytts.PStream Gradient GV optimization for feature: (6)  number of iterations=7
2014-12-02 17:12:16,203 [main] INFO  marytts.PStream Gradient GV optimization for feature: (7)  number of iterations=4
2014-12-02 17:12:16,204 [main] INFO  marytts.PStream Gradient GV optimization for feature: (8)  number of iterations=11
2014-12-02 17:12:16,206 [main] INFO  marytts.PStream Gradient GV optimization for feature: (9)  number of iterations=19
2014-12-02 17:12:16,207 [main] INFO  marytts.PStream Gradient GV optimization for feature: (10)  number of iterations=16
2014-12-02 17:12:16,208 [main] INFO  marytts.PStream Gradient GV optimization for feature: (11)  number of iterations=8
2014-12-02 17:12:16,209 [main] INFO  marytts.PStream Gradient GV optimization for feature: (12)  number of iterations=2
2014-12-02 17:12:16,210 [main] INFO  marytts.PStream Gradient GV optimization for feature: (13)  number of iterations=13
2014-12-02 17:12:16,211 [main] INFO  marytts.PStream Gradient GV optimization for feature: (14)  number of iterations=13
2014-12-02 17:12:16,213 [main] INFO  marytts.PStream Gradient GV optimization for feature: (15)  number of iterations=18
2014-12-02 17:12:16,215 [main] INFO  marytts.PStream Gradient GV optimization for feature: (16)  number of iterations=14
2014-12-02 17:12:16,217 [main] INFO  marytts.PStream Gradient GV optimization for feature: (17)  number of iterations=16
2014-12-02 17:12:16,220 [main] INFO  marytts.PStream Gradient GV optimization for feature: (18)  number of iterations=17
2014-12-02 17:12:16,221 [main] INFO  marytts.PStream Gradient GV optimization for feature: (19)  number of iterations=12
2014-12-02 17:12:16,222 [main] INFO  marytts.PStream Gradient GV optimization for feature: (20)  number of iterations=16
2014-12-02 17:12:16,223 [main] INFO  marytts.PStream Gradient GV optimization for feature: (21)  number of iterations=14
2014-12-02 17:12:16,223 [main] INFO  marytts.PStream Gradient GV optimization for feature: (22)  number of iterations=12
2014-12-02 17:12:16,224 [main] INFO  marytts.PStream Gradient GV optimization for feature: (23)  number of iterations=18
2014-12-02 17:12:16,225 [main] INFO  marytts.PStream Gradient GV optimization for feature: (24)  number of iterations=12
2014-12-02 17:12:16,226 [main] INFO  marytts.PStream Gradient GV optimization for feature: (25)  number of iterations=10
2014-12-02 17:12:16,226 [main] INFO  marytts.PStream Gradient GV optimization for feature: (26)  number of iterations=13
2014-12-02 17:12:16,227 [main] INFO  marytts.PStream Gradient GV optimization for feature: (27)  number of iterations=10
2014-12-02 17:12:16,227 [main] INFO  marytts.PStream Gradient GV optimization for feature: (28)  number of iterations=13
2014-12-02 17:12:16,227 [main] INFO  marytts.PStream Gradient GV optimization for feature: (29)  number of iterations=8
2014-12-02 17:12:16,228 [main] INFO  marytts.PStream Gradient GV optimization for feature: (30)  number of iterations=8
2014-12-02 17:12:16,228 [main] INFO  marytts.PStream Gradient GV optimization for feature: (31)  number of iterations=14
2014-12-02 17:12:16,228 [main] INFO  marytts.PStream Gradient GV optimization for feature: (32)  number of iterations=8
2014-12-02 17:12:16,228 [main] INFO  marytts.PStream Gradient GV optimization for feature: (33)  number of iterations=8
2014-12-02 17:12:16,229 [main] INFO  marytts.PStream Gradient GV optimization for feature: (34)  number of iterations=14
2014-12-02 17:12:16,229 [main] INFO  marytts.ParameterGeneration Using f0 from maryXML acoustparams
2014-12-02 17:12:16,229 [main] INFO  marytts.PStream Context-dependent global variance optimization: gvLength = 107
2014-12-02 17:12:16,230 [main] INFO  marytts.PStream Gradient GV optimization for feature: (0)  number of iterations=16
2014-12-02 17:12:16,230 [main] INFO  marytts.PStream Gradient GV optimization for feature: (1)  number of iterations=2
2014-12-02 17:12:16,230 [main] INFO  marytts.PStream Gradient GV optimization for feature: (2)  number of iterations=33
2014-12-02 17:12:16,231 [main] INFO  marytts.PStream Gradient GV optimization for feature: (3)  number of iterations=8
2014-12-02 17:12:16,231 [main] INFO  marytts.PStream Gradient GV optimization for feature: (4)  number of iterations=26
2014-12-02 17:12:16,236 [main] INFO  marytts.HMMSynthesizer Power-on self test complete.
2014-12-02 17:12:16,237 [main] INFO  marytts.TextToMaryXML Module started (TEXT->RAWMARYXML, locale null).
2014-12-02 17:12:16,237 [main] INFO  marytts.TextToMaryXML Starting power-on self test.
2014-12-02 17:12:16,237 [main] INFO  marytts.TextToMaryXML Power-on self test complete.
2014-12-02 17:12:16,481 [main] INFO  marytts.SableParser Module started (SABLE->RAWMARYXML, locale null).
2014-12-02 17:12:16,481 [main] INFO  marytts.SableParser Starting power-on self test.
2014-12-02 17:12:16,481 [main] INFO  marytts.SableParser Power-on self test complete.
2014-12-02 17:12:16,545 [main] INFO  marytts.SSMLParser Module started (SSML->RAWMARYXML, locale null).
2014-12-02 17:12:16,545 [main] INFO  marytts.SSMLParser Starting power-on self test.
2014-12-02 17:12:16,545 [main] INFO  marytts.SSMLParser Power-on self test complete.
2014-12-02 17:12:16,599 [main] INFO  marytts.APMLParser Module started (APML->RAWMARYXML, locale null).
2014-12-02 17:12:16,599 [main] INFO  marytts.APMLParser Starting power-on self test.
2014-12-02 17:12:16,599 [main] INFO  marytts.APMLParser Power-on self test complete.
